"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-22"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"41","충청남도 서산시 성연면 왕정리","725","0725","0000","e편한세상서산테크노밸리","전세","74.5253","202606","18","16,000","0","3","2018","성연4로 46","202606~202806","갱신","사용","16,000","0","아파트"
"42","충청남도 홍성군 홍북읍 신경리","945","0945","0000","자경마을중흥에스클래스","전세","73.9850","202606","18","13,990","0","14","2016","자경로 17","202606~202806","신규","-","","","아파트"
"43","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","46.6400","202606","18","916","34","19","2023","홍예로 164","202608~202807","갱신","-","2,929","27","아파트"
"44","충청남도 아산시 음봉면 동암리","714","0714","0000","아산더샵레이크시티3차","월세","84.9800","202606","18","20,000","50","6","2015","음봉로 515-37","202607~202609","갱신","사용","20,000","0","아파트"
"45","충청남도 아산시 탕정면 갈산리","884","0884","0000","호반써밋그랜드마크II(2차)","월세","84.6249","202606","18","2,000","140","5","2023","갈산샛들로 67","202608~202808","신규","-","","","아파트"
"46","충청남도 아산시 음봉면 덕지리","580","0580","0000","더?레이크사이드","전세","133.1602","202606","18","22,000","0","14","2006","음봉로 567","202609~202809","갱신","사용","22,000","0","아파트"
"47","충청남도 아산시 둔포면 석곡리","1797","1797","0000","아산테크노밸리EGthe14단지","전세","72.3450","202606","18","18,500","0","13","2016","아산밸리중앙로 67","202609~202809","신규","-","","","아파트"
"48","충청남도 아산시 배방읍 공수리","282","0282","0000","배방삼정그린코아","전세","38.4900","202606","18","7,300","0","11","2012","모산로126번길 17-7","202607~202807","신규","-","","","아파트"
"49","충청남도 아산시 배방읍 북수리","1873","1873","0000","충남꿈비채아산배방","월세","44.7994","202606","18","4,000","15","18","2022","월천5길 30","202606~202808","신규","-","","","아파트"
"50","충청남도 아산시 탕정면 매곡리","1393","1393","0000","한들물빛도시시티프라디움","전세","84.9893","202606","18","41,000","0","17","2021","한들물빛3로 36","202608~202902","신규","-","","","아파트"
"51","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","18","8,800","18","17","2020","두정공원2길 26","202609~202808","갱신","-","8,800","17","아파트"
"52","충청남도 천안시 서북구 성정동","789","0789","0000","주공6-3","전세","47.3200","202606","18","9,000","0","5","1991","쌍용대로 289-11","-","-","-","","","아파트"
"53","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","18","8,800","18","3","2020","두정공원2길 26","202608~202808","갱신","-","8,800","17","아파트"
"54","충청남도 천안시 서북구 두정동","1502","1502","0000","천안두정엘에이치2단지","월세","29.6500","202606","18","4,445","8","14","2022","봉정로 339","202610~202809","갱신","-","2,916","16","아파트"
"55","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","전세","76.9979","202606","18","30,000","0","1","2022","천안대로 980-17","202607~202807","갱신","-","25,000","0","아파트"
"56","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","18","5,400","36","6","2020","두정공원2길 26","202608~202808","갱신","-","5,400","35","아파트"
"57","충청남도 천안시 동남구 신부동","1004","1004","0000","더샵신부센트라","전세","84.9291","202606","18","35,000","0","11","2025","북일로 85","202608~202803","신규","-","","","아파트"
"58","충청남도 천안시 서북구 두정동","2056","2056","0000","두정역코아루스위트","전세","84.9523","202606","18","27,000","0","6","2014","천안대로 969","202606~202806","신규","-","","","아파트"
"59","충청남도 보령시 대천동","1520","1520","0000","보령더포레젠아파트","전세","76.9262","202606","18","26,700","0","6","2026","신대동길 40","202607~202806","신규","-","","","아파트"
"60","충청남도 천안시 서북구 백석동","1007","1007","0000","백석리슈빌","전세","84.9953","202606","18","26,000","0","16","2010","한들3로 107","202609~202809","신규","-","","","아파트"
"61","충청남도 천안시 서북구 쌍용동","1367","1367","0000","월봉청솔1단지","전세","50.1600","202606","18","11,450","0","13","2000","월봉4로 140-9","202606~202806","갱신","-","11,450","0","아파트"
"62","충청남도 아산시 권곡동","623","0623","0000","모종1차삼일파라뷰더스위트","월세","59.8738","202606","18","1,000","60","9","2021","문화로 271-30","202606~202806","신규","-","","","아파트"
"63","충청남도 아산시 권곡동","623","0623","0000","모종1차삼일파라뷰더스위트","월세","59.8738","202606","18","1,000","60","2","2021","문화로 271-30","202608~202808","신규","-","","","아파트"
"64","충청남도 천안시 서북구 쌍용동","1561","1561","0000","월봉청솔2차","월세","48.4500","202606","18","10,100","3","11","2000","월봉7길 77","202607~202807","신규","-","","","아파트"
"65","충청남도 천안시 서북구 직산읍 삼은리","70","0070","0000","직산한도","월세","54.0450","202606","18","2,000","38","11","1993","직산로 24","202606~202806","갱신","사용","2,000","35","아파트"
"66","충청남도 아산시 장존동","305","0305","0000","청솔","월세","39.9940","202606","18","300","35","2","2004","외암로 1247","202606~202712","신규","-","","","아파트"
"67","충청남도 아산시 장존동","305","0305","0000","청솔","전세","39.9940","202606","18","4,000","0","6","2004","외암로 1247","-","-","-","","","아파트"
"68","충청남도 공주시 금흥동","628","0628","0000","공주월송흥화하브","전세","84.8963","202606","18","29,400","0","11","2018","무령로 599-40","202608~202808","갱신","사용","28,000","0","아파트"
"69","충청남도 천안시 서북구 두정동","2082","2082","0000","힐스테이트두정역","전세","84.9267","202606","18","40,000","0","9","2025","북일로 50","202608~202808","신규","-","","","아파트"
"70","충청남도 당진시 수청동","1543","1543","0000","호반써밋시그니처3차","전세","84.9262","202606","18","33,000","0","26","2024","수청1로 52","202608~202808","신규","-","","","아파트"
"71","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.8281","202606","18","17,500","2","4","2022","수청2로 77","-","-","-","","","아파트"
"72","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.8281","202606","18","17,500","14","4","2022","수청2로 77","-","-","-","","","아파트"
"73","충청남도 천안시 서북구 쌍용동","1367","1367","0000","월봉청솔1단지","전세","50.1600","202606","18","10,125","0","13","2000","월봉4로 140-9","202606~202806","갱신","-","11,450","0","아파트"
"74","충청남도 천안시 동남구 청수동","183","0183","0000","극동2차","월세","127.2200","202606","18","14,500","15","3","1992","청수로 71-7","-","-","-","","","아파트"
"75","충청남도 천안시 동남구 신방동","873","0873","0000","성지새말1","전세","59.9700","202606","18","12,300","0","5","1997","일봉로 17","202606~202806","갱신","-","12,000","0","아파트"
"76","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202606","18","500","42","13","1998","신촌4로 16","202607~202807","신규","-","","","아파트"
"77","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","18","8,800","18","1","2020","두정공원2길 26","202610~202810","갱신","-","8,800","17","아파트"
"78","충청남도 천안시 동남구 풍세면 보성리","772","0772","0000","천안한양수자인에코시티","전세","84.9855","202606","18","10,000","0","4","2023","풍세산단로 290","202606~202806","갱신","사용","10,000","0","아파트"
"79","충청남도 천안시 서북구 두정동","2078","2078","0000","두정역효성해링턴플레이스","전세","59.8600","202606","18","27,000","0","9","2020","봉정로 324","202609~202809","신규","-","","","아파트"
"80","충청남도 천안시 동남구 신방동","869","0869","0000","신동아목련","월세","84.9600","202606","18","3,000","40","6","1996","새말4길 5","-","-","-","","","아파트"
"81","충청남도 아산시 용화동","1661","1661","0000","아산줌파크","월세","84.7600","202606","18","5,000","50","10","2023","시민로 135","202608~202709","신규","-","","","아파트"
"82","충청남도 천안시 서북구 두정동","2078","2078","0000","두정역효성해링턴플레이스","전세","59.9200","202606","18","29,000","0","20","2020","봉정로 324","202610~202810","신규","-","","","아파트"
"83","충청남도 아산시 모종동","854","0854","0000","힐스테이트모종블랑루체","전세","84.9752","202606","18","26,000","0","29","2026","한마음로 127-12","202607~202807","신규","-","","","아파트"
"84","충청남도 천안시 서북구 두정동","393-21","0393","0021","유보라천안두정역","월세","84.9608","202606","18","3,000","130","5","2025","천안대로 1050","202607~202807","신규","-","","","아파트"
"85","충청남도 아산시 모종동","736","0736","0000","힐스테이트모종네오루체","월세","84.9876","202606","17","3,000","110","4","2023","못마루로 139","202606~202811","신규","-","","","아파트"
"86","충청남도 천안시 동남구 용곡동","571","0571","0000","용곡1차세광엔리치타워","월세","128.4557","202606","17","2,000","110","4","2005","풍세로 801-23","202606~202706","신규","-","","","아파트"
"87","충청남도 천안시 서북구 입장면 기로리","86-1","0086","0001","주성레이크빌","월세","49.9088","202606","17","500","40","5","2003","위례성로 1909-3","202606~202806","신규","-","","","아파트"
"88","충청남도 당진시 송악읍 기지시리","510","0510","0000","힐스테이트당진","월세","59.9909","202606","17","13,000","15","5","2016","틀모시로 738","202606~202803","신규","-","","","아파트"
"89","충청남도 천안시 동남구 풍세면 보성리","772","0772","0000","천안한양수자인에코시티","월세","84.9647","202606","17","300","40","18","2023","풍세산단로 290","202606~202706","신규","-","","","아파트"
"90","충청남도 아산시 모종동","854","0854","0000","힐스테이트모종블랑루체","전세","84.9752","202606","17","24,000","0","3","2026","한마음로 127-12","202608~202808","신규","-","","","아파트"
"91","충청남도 천안시 서북구 성정동","1324","1324","0000","모아엘가워너비","월세","23.2630","202606","17","600","43","2","2017","성정공원7길 9","202606~202706","신규","-","","","아파트"
"92","충청남도 서산시 갈산동","192","0192","0000","세창리베하우스","월세","84.7766","202606","17","1,000","50","1","2002","갓고개길 14","202606~202706","신규","-","","","아파트"
"93","충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.6800","202606","17","500","45","5","2015","서금암로 10","202608~202708","갱신","-","500","43","아파트"
"94","충청남도 계룡시 금암동","167-1","0167","0001","우림루미아트","전세","84.9769","202606","17","18,000","0","5","2005","장안로 75","202606~202806","신규","-","","","아파트"
"95","충청남도 천안시 동남구 목천읍 삼성리","9-12","0009","0012","원앙마을부영1차","월세","49.9200","202606","17","500","45","4","1999","삼성5길 42","202606~202806","신규","-","","","아파트"
"96","충청남도 천안시 동남구 쌍용동","555-2","0555","0002","쌍용신성","월세","84.9900","202606","17","9,500","20","4","1995","순천향4길 8","202607~202807","신규","-","","","아파트"
"97","충청남도 천안시 동남구 신부동","545","0545","0000","대림한들","월세","98.4400","202606","17","2,000","90","12","1995","터미널9길 59","202606~202706","신규","-","","","아파트"
"98","충청남도 천안시 동남구 신부동","85","0085","0000","경남아너스빌","전세","84.5160","202606","17","17,000","0","15","2000","충절로 42","202608~202808","신규","-","","","아파트"
"99","충청남도 천안시 동남구 청당동","436","0436","0000","청당마을신도브래뉴","전세","84.5700","202606","17","17,000","0","11","2006","풍세로 770","202607~202807","갱신","-","18,000","0","아파트"
"100","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.9931","202606","17","16,900","6","22","2022","수청2로 77","-","-","-","","","아파트"
"101","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.9931","202606","17","16,900","14","22","2022","수청2로 77","-","-","-","","","아파트"
"102","충청남도 당진시 수청동","1562","1562","0000","호반써밋시그니처Ⅱ","월세","84.4927","202606","17","3,000","130","5","2023","수청1로 51","202607~202807","신규","-","","","아파트"
"103","충청남도 서산시 동문동","1274","1274","0000","서산동문꿈에그린아파트","전세","59.9027","202606","17","18,000","0","8","2018","서령로 157-27","202608~202808","신규","-","","","아파트"
"104","충청남도 천안시 서북구 쌍용동","1914","1914","0000","주공9","전세","49.7700","202606","17","10,500","0","2","1998","봉서산샛길 65","202608~202808","갱신","사용","10,000","0","아파트"
"105","충청남도 천안시 서북구 쌍용동","1233","1233","0000","광명","월세","84.5600","202606","17","2,000","75","13","1993","미라2길 19","202606~202803","신규","-","","","아파트"
"106","충청남도 천안시 서북구 불당동","1497","1497","0000","불당리더힐스","전세","59.7000","202606","17","30,000","0","8","2016","불당24로 10","202609~202809","신규","-","","","아파트"
"107","충청남도 천안시 서북구 쌍용동","1367","1367","0000","월봉청솔1단지","전세","50.1600","202606","17","10,100","0","5","2000","월봉4로 140-9","202608~202808","신규","-","","","아파트"
"108","충청남도 당진시 읍내동","1687","1687","0000","당진아이파크","전세","84.9800","202606","17","23,100","0","6","2022","당진중앙2로 290","202607~202807","갱신","사용","22,000","0","아파트"
"109","충청남도 천안시 서북구 쌍용동","1273","1273","0000","상록수현대","전세","59.4450","202606","17","12,500","0","16","1995","쌍용17길 52","202607~202807","신규","-","","","아파트"
"110","충청남도 천안시 동남구 쌍용동","553-1","0553","0001","임광","월세","59.7600","202606","17","1,500","60","1","1996","순천향1길 25","202607~202807","신규","-","","","아파트"
"111","충청남도 아산시 배미동","174-3","0174","0003","서진","월세","29.6400","202606","17","300","35","1","2000","서부북로 973","202606~202706","신규","-","","","아파트"
"112","충청남도 천안시 동남구 신방동","1066","1066","0000","천안하나리움아인스파크","월세","59.9807","202606","17","15,370","8","18","2016","통정3로 77","-","-","-","","","아파트"
"113","충청남도 천안시 동남구 신방동","935","0935","0000","신방동대주피오레","월세","119.6370","202606","17","10,500","20","9","2006","서부대로 257-8","-","-","-","","","아파트"
"114","충청남도 천안시 동남구 신방동","935","0935","0000","신방동대주피오레","월세","119.6370","202606","17","10,500","20","9","2006","서부대로 257-8","202607~202807","신규","-","","","아파트"
"115","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202606","17","500","38","15","1998","신촌4로 16","202606~202806","신규","-","","","아파트"
"116","충청남도 천안시 동남구 쌍용동","555-2","0555","0002","쌍용신성","월세","84.9900","202606","17","9,500","20","4","1995","순천향4길 8","-","-","-","","","아파트"
"117","충청남도 보령시 명천동","1423","1423","0000","보령명천대원칸타빌아파트","전세","84.9782","202606","17","18,721","0","10","2022","진등1길 24","202606~202612","신규","-","","","아파트"
"118","충청남도 천안시 동남구 문화동","181","0181","0000","천안역필하우스에듀시티(2단지)","월세","73.9941","202606","17","2,000","105","16","2022","성황로 66","202607~202807","신규","-","","","아파트"
"119","충청남도 아산시 탕정면 갈산리","898","0898","0000","호반써밋그랜드마크Ⅲ(3차)","전세","84.9060","202606","17","34,000","0","5","2023","갈산교로 223","202607~202807","신규","-","","","아파트"
"120","충청남도 서산시 성연면 일람리","1134","1134","0000","서산테크노밸리예다음아파트","월세","66.9260","202606","17","14,900","6","10","2023","성연4로 10","202607~203404","신규","-","","","아파트"
"121","충청남도 아산시 배방읍 장재리","1539","1539","0000","연화마을8단지","전세","84.6200","202606","17","25,000","0","9","2009","연화로 36","202607~202807","갱신","-","22,050","0","아파트"
"122","충청남도 금산군 금산읍 양지리","468","0468","0000","e편한세상금산프라임포레","전세","59.8083","202606","17","15,500","0","10","2022","진악로 869","202610~202810","신규","-","","","아파트"
"123","충청남도 공주시 의당면 청룡리","640-1","0640","0001","청룡신한1차","전세","42.5400","202606","17","4,000","0","5","1998","연수원길 115-21","202606~202712","신규","-","","","아파트"
"124","충청남도 아산시 배방읍 세교리","1592","1592","0000","아산배방LH15단지","월세","46.4400","202606","17","4,215","23","6","2022","동방로 114","202608~202807","갱신","-","2,927","29","아파트"
"125","충청남도 아산시 배방읍 세교리","1521","1521","0000","아산탕정LH7단지","월세","29.3100","202606","17","2,085","11","10","2021","세교길 13","202607~202806","갱신","-","1,054","15","아파트"
"126","충청남도 아산시 음봉면 산동리","427-1","0427","0001","삼일원앙","월세","39.7300","202606","17","300","40","5","1997","음봉로 847","202606~202706","신규","-","","","아파트"
"127","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","46.6400","202606","17","5,716","12","2","2023","홍예로 164","202608~202807","갱신","-","2,929","27","아파트"
"128","충청남도 홍성군 홍북읍 신경리","1176","1176","0000","신리마을상록아파트","전세","59.9200","202606","17","8,939","0","2","2016","홍학로 25","202607~202807","신규","-","","","아파트"
"129","충청남도 홍성군 홍북읍 신경리","1176","1176","0000","신리마을상록아파트","전세","59.9200","202606","17","8,939","0","5","2016","홍학로 25","202606~202806","신규","-","","","아파트"
"130","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","46.6400","202606","17","5,716","12","2","2023","홍예로 164","202608~202807","갱신","-","5,629","11","아파트"
"131","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","46.6400","202606","17","3,016","27","11","2023","홍예로 164","202608~202807","갱신","-","2,929","27","아파트"
"132","충청남도 홍성군 홍북읍 신경리","1176","1176","0000","신리마을상록아파트","월세","58.4900","202606","17","7,029","5","7","2016","홍학로 25","202608~202808","갱신","-","8,216","7","아파트"
"133","충청남도 홍성군 홍북읍 신경리","1176","1176","0000","신리마을상록아파트","월세","54.7600","202606","17","1,636","19","7","2016","홍학로 25","202610~202810","갱신","-","1,912","26","아파트"
"134","충청남도 홍성군 홍북읍 신경리","1176","1176","0000","신리마을상록아파트","전세","59.9200","202606","17","8,939","0","2","2016","홍학로 25","202607~202807","신규","-","","","아파트"
"135","충청남도 홍성군 홍북읍 신경리","947","0947","0000","충남내포신도시2차대방엘리움더센트럴아파트","전세","84.9144","202606","17","20,000","0","12","2023","자경로 18","202607~202807","신규","-","","","아파트"
"136","충청남도 아산시 신창면 남성리","852","0852","0000","아산삼부르네상스더힐","월세","74.8843","202606","17","1,000","80","12","2024","천우물로 22","202608~202806","신규","-","","","아파트"
"137","충청남도 천안시 동남구 문화동","181","0181","0000","천안역필하우스에듀시티(2단지)","전세","73.9941","202606","17","23,000","0","9","2022","성황로 66","202607~202807","갱신","사용","23,000","0","아파트"
"138","충청남도 아산시 둔포면 둔포리","354-7","0354","0007","백남청솔","월세","49.5000","202606","16","300","40","11","1996","둔포중앙로171번길 97","202607~202707","신규","-","","","아파트"
"139","충청남도 서산시 성연면 일람리","1134","1134","0000","서산테크노밸리예다음아파트","전세","66.9260","202606","16","16,900","0","13","2023","성연4로 10","202608~203008","신규","-","","","아파트"
"140","충청남도 천안시 동남구 문화동","180","0180","0000","천안역필하우스에듀시티(1단지)","전세","84.8959","202606","16","30,000","0","5","2022","성황로 40","202609~202809","신규","-","","","아파트"
"141","충청남도 서산시 성연면 일람리","1081","1081","0000","서산테크노밸리우미린","월세","59.5822","202606","16","3,000","58","11","2022","성연3로 77","202607~202807","신규","-","","","아파트"
"142","충청남도 아산시 배방읍 공수리","282","0282","0000","배방삼정그린코아","전세","38.4900","202606","16","7,000","0","2","2012","모산로126번길 17-7","202607~202807","갱신","사용","6,800","0","아파트"
